RepoName,BuildStatus,TotalJobsRun,TotalPassedJobs
ahmad-abdellatif/3D-convolutional-speaker-recognition,errored,3.0,0.0
ahmad-abdellatif/abbreviation-extraction,passed,1.0,1.0
ahmad-abdellatif/adam_qas,errored,2.0,0.0
ahmad-abdellatif/ADNC,errored,1.0,0.0
ahmad-abdellatif/agent,errored,2.0,0.0
ahmad-abdellatif/AlphaPy,passed,2.0,2.0
ahmad-abdellatif/anonymisation,failed,1.0,0.0
ahmad-abdellatif/ATM,failed,3.0,1.0
ahmad-abdellatif/autosubsync,errored,4.0,0.0
ahmad-abdellatif/axelrod-dojo,errored,2.0,0.0
ahmad-abdellatif/babyai,errored,1.0,0.0
ahmad-abdellatif/bad-commit-message-blocker,passed,1.0,1.0
ahmad-abdellatif/bert-embedding,partially passed,3.0,2.0
ahmad-abdellatif/bert_score,errored,2.0,0.0
ahmad-abdellatif/bigartm,partially passed,4.0,3.0
ahmad-abdellatif/bristol,failed,2.0,0.0
ahmad-abdellatif/calour,errored,3.0,0.0
ahmad-abdellatif/chainer-cyclegan,passed,1.0,1.0
ahmad-abdellatif/chainer-dense-fusion,errored,2.0,0.0
ahmad-abdellatif/chariot,errored,1.0,0.0
ahmad-abdellatif/chemml,errored,2.0,0.0
ahmad-abdellatif/choix,passed,2.0,2.0
ahmad-abdellatif/crypto-predict,failed,1.0,0.0
ahmad-abdellatif/cs-ranking,failed,3.0,1.0
ahmad-abdellatif/datmo,errored,4.0,0.0
ahmad-abdellatif/decentralized-ml,errored,2.0,0.0
ahmad-abdellatif/DeepCTR,errored,1.0,0.0
ahmad-abdellatif/DeepMoji,passed,1.0,1.0
ahmad-abdellatif/deeptennis,partially passed,3.0,2.0
ahmad-abdellatif/deepvoice3_pytorch,errored,2.0,0.0
ahmad-abdellatif/delfi,partially passed,4.0,3.0
ahmad-abdellatif/DenseTorch,failed,2.0,0.0
ahmad-abdellatif/dictlearn,,2.0,0.0
ahmad-abdellatif/django-recommends,errored,4.0,0.0
ahmad-abdellatif/doc2vec,failed,2.0,0.0
ahmad-abdellatif/dropblock,errored,2.0,0.0
ahmad-abdellatif/efficientnet,errored,1.0,1.0
ahmad-abdellatif/elephas,passed,2.0,0.0
ahmad-abdellatif/Engine,errored,5.0,0.0
ahmad-abdellatif/entropy,failed,4.0,0.0
ahmad-abdellatif/EvalAI,errored,1.0,0.0
ahmad-abdellatif/Face-Recognition-System,errored,9.0,0.0
ahmad-abdellatif/Feature-Selection,errored,1.0,0.0
ahmad-abdellatif/fer,,1.0,0.0
ahmad-abdellatif/fishervector,errored,3.0,0.0
ahmad-abdellatif/flashtext,failed,1.0,1.0
ahmad-abdellatif/foremast-brain,errored,2.0,0.0
ahmad-abdellatif/Friday,passed,1.0,0.0
ahmad-abdellatif/funk-svd,errored,2.0,0.0
ahmad-abdellatif/gandissect,errored,2.0,2.0
ahmad-abdellatif/GCNet,errored,1.0,0.0
ahmad-abdellatif/gecco,passed,3.0,1.0
ahmad-abdellatif/gluon2pytorch,failed,4.0,0.0
ahmad-abdellatif/GOApy,failed,2.0,0.0
ahmad-abdellatif/GPflow-Slim,errored,1.0,0.0
ahmad-abdellatif/gqcnn,errored,1.0,1.0
