cmdName,categoryName,subCategory
pip,Build,null
conda,Build,null
python,Build,null
export,General,null
apt-get,Build,null
pytest,Test,null
wget,Build,null
bash,General,null
source,General,null
coveralls,Analyzer,null
cd,General,null
python3,General,null
make,Build,null
codecov,Analyzer,null
docker,Deployment,null
flake8,Analyzer,null
git,CodeManagement,null
coverage,Analyzer,null
hash,General,null
pip3,Build,null
nosetests,Test,null
py.test,Test,null
echo,General,null
mkdir,General,null
curl,Build,null
chmod,General,null
poetry,Build,null
sleep,General,null
rm,General,null
tox,Test,null
.,General,null
brew,Build,null
sh,General,null
pipenv,Build,null
bandit,Analyzer,null
docker-compose,Deployment,null
add-apt-repository,Build,null
psql,General,null
dpkg,Build,null
cp,General,null
ln,General,null
ls,General,null
eval,General,null
TRUE,General,null
sed,General,null
set,General,null
which,General,null
choco,General,null
pylint,Analyzer,null
jupyter,Build,null
catkin,Build,null
java,Build,null
apt,Build,null
rosdep,Build,null
df,General,null
unset,General,null
mv,General,null
tar,General,null
cat,General,null
mypy,Analyzer,null
pushd,General,null
unzip,General,null
pntl,General,null
autopep8,Analyzer,null
update-alternatives,Build,null
deactivate,Build,null
black,Analyzer,null
whatstk-generate-chat,General,null
pre-commit,CodeManagement,null
uname,General,null
twine,Deployment,null
xvfb-run,Build,null
pip2,Build,null
ulimit,General,null
apt-key,General,null
pyb,Build,null
codecovv,Analyzer,null
pyenv,Build,null
find,General,null
/bin/bash,General,null
prospector,Analyzer,null
python-codacy-coverage,Analyzer,null
venv/bin/pip,Build,null
free,General,null
chown,General,null
anaconda/bin/conda,Build,null
ldconfig,General,null
npm,Build,null
kill,General,null
unbuffer,General,null
pycodestyle,Analyzer,null
doctr,Deployment,null
Rscript,Build,null
pipsi,Build,null
build_wheel,Build,null
service,General,null
php,Build,null
pep8,Build,null
doit,General,null
python2,General,null
update-java-alternatives,Build,null
tail,General,null
spark-submit,General,null
pyflakes,Analyzer,null
./.codecov,CodeManagement,null
fossa,Analyzer,null
fc-cache,General,null
update-locale,General,null
bones-check,Build,null
juman,General,null
visdom,General,null
open,General,null
ocular,Analyzer,null
nlg-eval,Analyzer,null
lambdipy,Build,null
g++,Build,null
popd,General,null
easy_install,Build,null
bones-generate,Build,null
stty,General,null
behave,Build,null
env,General,null
exit,General,null
ffmpeg,General,null
touch,General,null
lcov,General,null
flask,Build,null
ccache,General,null
lsb_release,General,null
green,Test,null
aws,Deployment,null
parserator,General,null
bazel,Build,null
nvm,Build,null
virtualenv,Build,null
sqlite3,Build,null
rake,Build,null
code_cov,Analyzer,null
go,Build,null
buildwheel,Build,null
invoke,General,null
nc,General,null
node,Build,null
cibuildwheel,Build,null
codeclimate-test-reporter,Analyzer,null
gcc,Build,null
type,General,null
openssl,General,null
cppcheck,Analyzer,null
travis-sphinx,Deployment,null
behave,Test,null
unittest,Test,null
