Repository,ProjectType,Build,Test,Deploy,CodeAnalysis
alvations/sacremoses,Applied,TRUE,TRUE,FALSE,FALSE
alvinwan/timefhuman,Applied,TRUE,TRUE,FALSE,TRUE
amadeus4dev/amadeus-python,Tool,TRUE,TRUE,TRUE,FALSE
AmeyaWagh/Traffic_sign_detection_YOLO,Applied,TRUE,TRUE,FALSE,TRUE
antoinecarme/pyaf,Tool,TRUE,TRUE,FALSE,FALSE
autonomio/kerasplotlib,Tool,TRUE,TRUE,TRUE,TRUE
autonomio/wrangle,Applied,TRUE,TRUE,TRUE,TRUE
bhargavvader/pycobra,Tool,TRUE,TRUE,FALSE,TRUE
biolab/orange3-educational,Tool,TRUE,TRUE,FALSE,TRUE
BLKSerene/Wordless,Applied,TRUE,TRUE,FALSE,FALSE
bmcfee/muda,Tool,TRUE,TRUE,FALSE,TRUE
chainer/chainerrl,Tool,TRUE,TRUE,FALSE,TRUE
chakki-works/chariot,Applied,TRUE,TRUE,TRUE,TRUE
Cloud-CV/evalai-cli,Applied,TRUE,TRUE,TRUE,TRUE
cltk/cltk,Tool,TRUE,TRUE,TRUE,TRUE
datmo/datmo,Applied,TRUE,TRUE,FALSE,TRUE
DigitalSlideArchive/HistomicsTK,Tool,TRUE,TRUE,TRUE,TRUE
dlebech/lyrics-generator,Applied,TRUE,TRUE,FALSE,FALSE
DrSleep/DenseTorch,Applied,TRUE,TRUE,FALSE,FALSE
DrSleep/light-weight-refinenet,Applied,TRUE,TRUE,FALSE,TRUE
ealcobaca/pymfe,Applied,TRUE,TRUE,FALSE,TRUE
Epistimio/orion,Applied,TRUE,TRUE,FALSE,FALSE
explosion/spaCy,Tool,TRUE,TRUE,FALSE,FALSE
eyounx/ZOOpt,Applied,TRUE,TRUE,FALSE,TRUE
feedly/transfer-nlp,Tool,TRUE,TRUE,FALSE,FALSE
gbolmier/funk-svd,Applied,TRUE,TRUE,FALSE,FALSE
georgymh/decentralized-ml,Applied,TRUE,TRUE,FALSE,FALSE
glm-tools/pyglmnet,Applied,TRUE,TRUE,FALSE,TRUE
google/uis-rnn,Tool,TRUE,TRUE,FALSE,TRUE
