RepoName,RepoType,GitHubURL,TravisFileURL
duxuhao/Feature-Selection,Applied,https://github.com/duxuhao/Feature-Selection.git,https://github.com/duxuhao/Feature-Selection/blob/master/.travis.yml
kakaobrain/torchgpipe,Applied,https://github.com/kakaobrain/torchgpipe.git,https://github.com/kakaobrain/torchgpipe/blob/master/.travis.yml
ternaus/robot-surgery-segmentation,Applied,https://github.com/ternaus/robot-surgery-segmentation.git,https://github.com/ternaus/robot-surgery-segmentation/blob/master/.travis.yml
knorth55/chainer-dense-fusion,Applied,https://github.com/knorth55/chainer-dense-fusion.git,https://github.com/knorth55/chainer-dense-fusion/blob/master/.travis.yml
scikit-learn-contrib/mimic,Tool,https://github.com/scikit-learn-contrib/mimic.git,https://github.com/scikit-learn-contrib/mimic/blob/master/.travis.yml
AllenInstitute/mouse_connectivity_models,Applied,https://github.com/AllenInstitute/mouse_connectivity_models.git,https://github.com/AllenInstitute/mouse_connectivity_models/blob/master/.travis.yml
jfilter/split-folders,Applied,https://github.com/jfilter/split-folders.git,https://github.com/jfilter/split-folders/blob/master/.travis.yml
apacha/MusicScoreClassifier,Applied,https://github.com/apacha/MusicScoreClassifier.git,https://github.com/apacha/MusicScoreClassifier/blob/master/.travis.yml
hoxo-m/densratio_py,Tool,https://github.com/hoxo-m/densratio_py.git,https://github.com/hoxo-m/densratio_py/blob/master/.travis.yml
CSAILVision/gandissect,Applied,https://github.com/CSAILVision/gandissect.git,https://github.com/CSAILVision/gandissect/blob/master/.travis.yml
nengo/nengo-dl,Applied,https://github.com/nengo/nengo-dl.git,https://github.com/nengo/nengo-dl/blob/master/.travis.yml
comtravo/ctparse,Applied,https://github.com/comtravo/ctparse.git,https://github.com/comtravo/ctparse/blob/master/.travis.yml
gbolmier/funk-svd,Applied,https://github.com/gbolmier/funk-svd.git,https://github.com/gbolmier/funk-svd/blob/master/.travis.yml
qubvel/efficientnet,Applied,https://github.com/qubvel/efficientnet.git,https://github.com/qubvel/efficientnet/blob/master/.travis.yml
HunterMcGushion/hyperparameter_hunter,Applied,https://github.com/HunterMcGushion/hyperparameter_hunter.git,https://github.com/HunterMcGushion/hyperparameter_hunter/blob/master/.travis.yml
5hirish/adam_qas,Applied,https://github.com/5hirish/adam_qas.git,https://github.com/5hirish/adam_qas/blob/master/.travis.yml
